업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
백년가짬뽕-광화문직영점,2022년 2월 12일,3,5,5,"
            찹쌀탕수육＋짬뽕2/1(탕수육 사이즈 선택(변경안함))
          ",면과 배달은 맘에 들지만 짬뽕보다는 마라탕에 가까운 이국적인 맛이었습니다..탕수육도 튀김옷이 너무 두꺼워요..
백년가짬뽕-광화문직영점,2022년 1월 20일,4,3,3,"
            찹쌀탕수육＋짬뽕＋짜장면/1(탕수육 사이즈 선택(변경안함))
          ","가격대비 좀..아쉬워요. 
꿔바로우식 탕수육인줄 알았는데 그것도 아니고..
짜장면은 맛있네요"
백년가짬뽕-광화문직영점,2022년 1월 3일,3,4,5,"
            미니 탕수육＋짜장면＋군만두 2ps /1
          ",잘 먹었습니다. ..
백년가짬뽕-광화문직영점,2021년 12월 23일,4,2,5,"
            찹쌀탕수육＋짜장면＋볶음밥/1
          ","맛은 전반적으로 다 좋았어요~!
근대 사장님..탕수육은 2만원 양은 아닌거 같아요.
미니 탕수육 온줄암.. 
튀김옷으로 양넓힌게 쬠쓰 보임😕
(다른 리뷰에도 같은말있던데요 )
짜장면 볶음밥 다 맛 좋았어요 👍🏼👍🏼
ㅎ 양조금 개선되면 좋겠네요
 다시 시킬의사 있습니다 ~!!
어쨌든 맛나게 잘먹었습니다♡
배달기사분 신속하고 친절👍🏼"
백년가짬뽕-광화문직영점,2021년 11월 29일,1,1,5,"
            [판매 1순위＋] 백년가 짬뽕/1,깐풍육/1
          ","도시락 먹기싫어서 시켰는데 집에서 먹는거면 절대 안시키지 그냥 라면 끊여먹는거랑  뭐가 다른지   의문 그나마 도시락이 있어서 배터지게 먹은게 그나마
탕수육 양 적다해서  깐풍기  시켰는데 깐풍은 소인가 순풍산부인과에서 박영규가 먹는거보고 시켰는데 처음임 후회중"
백년가짬뽕-광화문직영점,2021년 11월 7일,5,3,5,"
            찹쌀탕수육＋짜장면2/1(탕수육 사이즈 선택(탕수육（중）))
          ","많이 늦긴 했지만 배달빠르고 맛나게 잘먹었습니다
가격치고 탕수육이 양이 조금 적은거 같구요
전반적으로 만족합니다"
백년가짬뽕-광화문직영점,2021년 10월 21일,3,3,5,"
            찹쌀탕수육＋짬뽕＋짜장면/1(탕수육 사이즈 선택(변경안함))
          ","짜장면이 좀 싱거워요..ㅠ 짬뽕은 불맛나서 괜찮았어요~~
맛이나 양에 비해 가격이 좀 비싼것같은데.. 그래도 한끼 잘 먹었습니다~~"
백년가짬뽕-광화문직영점,2021년 5월 17일,4,3,5,"
            짜장면/1,찹쌀 탕수육/1(사이즈 선택(小))
          ",빠른배달 감사합니다.
백년가짬뽕-광화문직영점,2021년 5월 7일,1,1,2,"
            짬뽕/1,볶음밥/1,찹쌀 탕수육/1(사이즈 선택(小))
          ","탕수육 사진을 보고 시켰는데
사진에는 소스도 충분하고,각종 채소가 풍부했는데,채소는 아예 없고 소스 양도 너무 적어 부먹은 커녕 무슨 간장종지 찍어 먹듯 아껴서 찍어 먹었고요,음식 받자마자 짬뽕 포장 상태도 그렇고..그건 배송중에 그럴 수 있다 해도,탕수육에 식사 두개 시켰으면,보통 다른 데는 만두서비스도 주던데,단무지도 달랑 하나 보내시고,짬뽕 안에 씹히는 채소도 나무처럼 딱딱해서 생강인가?하고 꺼내보니..대파 심이네요 ㅎㅎ사용하면 안되는 재료를..이 가격에 재료 너무 아끼시네요 재주문 안합니다.간은..먹고나서 혀에 마비 온듯ㅠ"
백년가짬뽕-광화문직영점,2021년 4월 6일,5,3,5,"
            순두부짬뽕밥/4,볶음밥/2,탕수육/1(사이즈 선택(小))
          ","대체적으로 다 맛있는데 짬뽕 정말 맛있어요
다만 탕수육 너무 맛있는데 가격대비 양이 너무 조금인듯!"
