업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
승희장수곱창,2020년 12월 5일,3,5,5,"
            야채곱창/1
          ","면목  ㅡ2동네 15분 도착 번개배송
야채 보다 당면이 너무 많아..당면 곱창//
내 입맛이 조미료 맛에 길들여졋는지 몰라도...조미료 없는 맛..
어쩌다 질긴 것 걸리면 턱운동 필요."
승희장수곱창,2020년 10월 28일,2,4,5,"
            알곱창＋오돌뼈/1
          ",곱창 구석에서 이렇게 짧은 머리카락을 발견 했네요.....
승희장수곱창,2020년 9월 11일,1,1,1,"
            알곱창＋오돌뼈/1
          ",배달도 느리고 미안하다는말 한마디 없이 그냥 음식만 주고 가는 경우가 어딨죠? 그리거 먹다 남은거 줬나요?
승희장수곱창,2020년 6월 9일,1,5,5,"
            야채곱창/1
          ","좀어이가없엇는디 상추가 참 이게뭔지...?? 배달에다 그냥 썩은거 다 털어내는느낌... 집옆에상추가 더깨긋한거같아서 주워왓네요 당면은 다뿔고 콜라도 얼마나 따끈따끈하던지 
두번은 안먹을거같네요"
승희장수곱창,2019년 7월 24일,2,5,5,"
            야채곱창/1
          ",양은 정말 많아요. 다만 매콤한 맛 좋아하시는 분들은 야채곱창 시킬때 좀 매콤하게 해달라고 해야 될 것 같아요. 제가 먹은 것은 좀 밍밍해서요.
승희장수곱창,2019년 3월 25일,3,4,5,"
            야채곱창/1
          ",맛은 좋은 편이고 배달도 짱 빨라용~
