업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
신의주순대와쭈꾸미-이태원점,2022년 2월 15일,3,3,5,"
            순대국/2(조리 선택(조리 후 배달),구성 선택(일반)),공기밥/1
          ",순대국 맛은 괜찮았는데 밥이 너무 적어요...한그릇 더시키길잘했네요
신의주순대와쭈꾸미-이태원점,2021년 12월 18일,3,3,1,"
            순대국/1(조리 선택(조리 후 배달),구성 선택(일반),추가선택(특으로 변경)),묵사발/1
          ",그냥그래요.....
신의주순대와쭈꾸미-이태원점,2021년 8월 23일,2,2,1,"
            한우소머리국밥/1(조리 선택(조리 후 배달)),쭈꾸미볶음（공기밥 미제공）/1(사이즈 선택(小)),석박지 700g/1,모듬순대 한접시/1,묵사발/1,공기밥/3,콜라 355mL/1,환타（오렌지） 355mL/1
          ","주문한 품목들도 제대로 다 안오고, 다시 갖다주겠다는것도 아니고, 영수증이나 내역서도 없고, 다음에 적립시켜드리냐니.. 다음에 또 주문하고 싶겠어요? 제법 시켰던곳인데.. 주문할일 없을것같네요^^"
신의주순대와쭈꾸미-이태원점,2021년 7월 4일,5,3,5,"
            순대국/2(조리 선택(조리 후 배달),구성 선택(순대만))
          ","맛있습니다.
공기밥을 조금만 더주시면 감사하겠습니다.."
신의주순대와쭈꾸미-이태원점,2021년 1월 2일,2,3,4,"
            쭈꾸미볶음（공기밥 미제공）/1(사이즈 선택(小))
          ",맛이  약간  아쉬웠지만 그런데로  좋았음
신의주순대와쭈꾸미-이태원점,2020년 12월 27일,4,3,5,"
            수육국밥/1(조리 선택(조리 후 배달)),모듬순대 한접시/1
          ",모둠순대에 고기가 없네요? 사진에는 살코기 있던데...? 원래 없나요?
