업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
노량진수산시장벌교아줌마,17시간 전,5,3,5,"
            양에 놀라는 고급모듬회（大）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","맛있게 먹었어요.
근데 양이 많지는 않네요...
담엔 모듬 보다는 단품으로 구매할 듯 해요."
노량진수산시장벌교아줌마,2022년 3월 20일,5,1,5,"
            잿_방어_특대/1
          ",14만원 주고 방어만 먹었는데 양 진짜 심하다 생각들고 다시는 안 시켜먹을 것 같네요
노량진수산시장벌교아줌마,2022년 2월 26일,4,2,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",맛은있는데 양이.. 배달비 생각하면어쩔수없죠..
노량진수산시장벌교아줌마,2022년 1월 22일,2,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",전에 인원이 많아 전화로 大자 3개나 시켰다가 회가 싱싱해서 재주문했어요. 배달하시는 분은 주소를 잘못읽으셔서 다른건물로 가셨다 오셨고 다른회는 괜찮았는데 연어랑 껍질있는 회는 축쳐져서 탄력없고 싱싱하지 않았어요 기대했는데 정말 실망했어요
노량진수산시장벌교아줌마,2022년 1월 22일,2,4,4,"
            [겨울메뉴] 방어가 돌아왔다/1(사이즈 선택(소),매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 얇게),젓가락 선택(젓가락 미포함))
          ","방어를 시켰는데 포장지 뜯기 전부터 비린내가 나길래 설마했는데..
먹어보니 좀 비리더구요..
그래서 와사비랑 먹으니 좀 괜찮아서 먹긴했지만 좀 실망스러웠어요.."
노량진수산시장벌교아줌마,2022년 1월 13일,2,1,3,"
            방어_소/1
          ","몇번 시켰던집이라 믿고 오랜만에 다시 시켰는데 양과 퀄리티가 많이 아쉬워졌습니다
접시에 절반정도만 회가 올라와있고 나머지는 무순과 야채로 채워져있어 당황 스러웠습니다
회도 마블링 하나 없는 붉은부분(냉동참치같은) 만 많이 넣어주시구요 
일반 횟집에서 가성비로 먹을수도 있지만 좀더 주고 노량진을 이용하는 메리트가 없어진것같아 아쉽습니다"
노량진수산시장벌교아줌마,2022년 1월 1일,4,1,1,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 얇게),젓가락 선택(젓가락 포함))
          ",아니 양이 소자도 아니고 배달 3시간 양  안만 연말이라도 이것 아니지요 장사 참 잘하시네요
노량진수산시장벌교아줌마,2021년 12월 11일,5,3,1,"
            [겨울메뉴] 방어가 돌아왔다/1(사이즈 선택(중),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","정말 솔직하게 맛은 있습니다
다만 배달 예상시간보다 40분 넘게 받았으니 두시간이 넘게 걸린건데, 예상시간보다 길어짐에도 연락이 없었으나
가게에선 음식이 이미 나갔다, 기사님이 전화했다고 하셨으나 부재중 전화 없었습니다..
기사님 얘길 못 들어서 한쪽 의견만 들은거라 누구 말이 맞는지 모르겠지만
음식 먹기 전부터 추운데서 픽업 기다리느라 감정이 상한걸 감안해도 양은 모르겠으나 맛은 괜찮았습니다
다만 배달 받는거 자체로 너무 질려버려서 지인들한테 추천은 못 할 것 같습니다..."
노량진수산시장벌교아줌마,2021년 12월 10일,4,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","양은 좀 적었지만 회는정말 만족합니다^^
다음번에 또 시킬깨요~~~"
노량진수산시장벌교아줌마,2021년 12월 5일,4,2,3,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",양이 현격하게 많이 줄어듬요
