업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
노량진수산시장벌교아줌마,2021년 11월 27일,3,2,2,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",생각보다 양이작았네요 ;; 배달7만원 중자였는데 ..
노량진수산시장벌교아줌마,2021년 11월 22일,1,2,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 얇게),젓가락 선택(젓가락 포함))
          ","배달만 빨리 왔네요

전에  맛나서  다시 시켰는데  이번엔  많이 맛없고 

매운탕거리도  별로고   아쉽습니다"
노량진수산시장벌교아줌마,2021년 11월 13일,2,2,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 미포함))
          ",ㅇㅈ
노량진수산시장벌교아줌마,2021년 11월 11일,3,3,3,"
            [겨울메뉴] 방어가 돌아왔다/1(사이즈 선택(중),매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 얇게),젓가락 선택(젓가락 미포함))
          ",그럭저럭 먹을만해요
노량진수산시장벌교아줌마,2021년 11월 9일,2,2,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","회에 가시가 있고요…… 
후기처럼 매운탕거리랑 회에 비늘 덜 벗겨져 있어요. 
고추, 마늘도 없어요.
매운탕에도 야채 없어요.

그리고 배달시간 2시간 넘게 기다렸어요.
이럴거면 제가 노량진 가서 사오죠 .. 
그냥 대기시간 120분 적어 놓으심이 어떠세요..?
직원인지 사장인지는 모르겠는데 전화 했는데 너무 불친절하다고 느꼈어요.

요청사항에 초밥물 부탁드렸는데 없었는지 안주셨어요."
노량진수산시장벌교아줌마,2021년 10월 30일,4,1,1,"
            [겨울메뉴] 방어가 돌아왔다/1(사이즈 선택(중),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 미포함))
          ","자주시키던곳이라 배달이 늦어도 이해했습니다..
예전엔 양도많고 싱싱했는데
양도 확줄고ㅜ 이게84000이라니
생선비늘도 너무나왔어요ㅜ
거기다 매운탕엔 왠 연어가..?
연어매운탕은 첨이에요
평도좋고 괜찮게생각한곳이였는데
이번엔 좀 실망했어요"
노량진수산시장벌교아줌마,2021년 10월 16일,1,1,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","여기 변했네요 맛있게 먹었던기억에 가족모임에 시켰는데 2시간이 넘게걸려 배달온데다가 양이 적은것도 모자라 찌그래기 모아놓은듯 아주 회를 조사놓았네요 꽤 괜찮은집이라고 말해놓았는데 민망할지경입니다. 사진도 찍고싶지않아서 사진은 패쓰, 젤작은조각은 1센티? ㅎ ㅎ  사장님이 바뀐건지 장사철학이 변심하신건지 예전 두툼하고 양많던 회는어디가고 대 대 실망입니다"
노량진수산시장벌교아줌마,2021년 10월 15일,1,1,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 얇게),젓가락 선택(젓가락 미포함))
          ",동네에서 시켜먹는게 더 빠르고 맛잇을듯
노량진수산시장벌교아줌마,2021년 9월 26일,5,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",노량진수산시장 모듬회가 그리워서 배달앱으로 처음 시켜봤습니다. 가격대비 양은 많지 않았으나 기대했던 맛이어서 맛있게 먹었습니다. 회 종류가 다양하고 신선합니다. 빠르고 정확한 배송도 좋았습니다. 많이 파세요.
노량진수산시장벌교아줌마,2021년 9월 19일,5,3,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","어중간한 횟집보다 훌륭!!!
하지만 양은 노량진 치고는 좀 적지만.... 배달료랑 생각하면...
연어는 좀 뺏으면 싶은 마음...."
노량진수산시장벌교아줌마,2021년 9월 10일,1,1,1,"
            여름보양식 민어회/1(사이즈 선택(대),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함),사이드 메뉴 추가 선택(고급 생연어회 추가))
          ","배달 3시간만에 받은 것 같네요
별다른 안내도 없고요
민어 끝물이라 좀 푸짐하게 먹을 줄 알았는데
아래 민어 15만원짜리이고
위에 연어 추가 2만원짜리 입니다
이럴꺼면 그냥 횟집가서 먹을껄 그랬네요
정말 오랜만에 전혀 만족스럽지 않은 식사였습니다."
노량진수산시장벌교아줌마,2021년 9월 8일,2,3,3,"
            양에 놀라는 고급모듬회（大）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함))
          ","배달 시간이 늦은건 중간에 연락 주셔서 양해할 수 있습니다.
근데 회는 활어는 결코 아니고 선어라고 하더라도 육질이 퍽퍽하고 느끼한 맛이 나는게 불편했습니다.
노량진수산시장이라 기대가 너무 컸었나 봅니다."
노량진수산시장벌교아줌마,2021년 9월 1일,1,1,1,"
            줄무늬전갱이_회/1(사이즈 선택(특대),매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",별루였어요 퍽퍽한 하질
노량진수산시장벌교아줌마,2021년 8월 21일,1,2,2,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","정말 회를 먹으면서 느끼하다는 느낌은 처음 받은 것 같네요. 어느정도 돈을 주고 시킨거라 더 먹어보려 했는데..연어가 느끼한 경우는 있었지만 광어와 우럭이 신선한건 아니더라도 쫄깃한 느낌도 없고 대체 어떻게 날 것인데 이렇게 느끼할 수가 있는 건가요..
초장을 찍어 먹어도 안되더군요..놀랐습니다..
먹다가 포기했습니다. 맛있었다면 돈이 아깝지 않았을텐데 안타깝네요..
양은 충분히 많습니다..배달은 저녁시간이라 1시간 20분정도 걸린점은 감안합니다..맛이 정말...아쉽네요"
노량진수산시장벌교아줌마,2021년 8월 20일,3,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",노량진에서 배달 된다해서 시켜봤는데 좀 실망이네요. 회가 싱싱하질 않아요. 물컹 거린다 할까.. 직접 가서 사와야 겠어요.
노량진수산시장벌교아줌마,2021년 8월 9일,3,5,2,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",굿굿좋아요 ᆢㄹㆍㄹ
노량진수산시장벌교아줌마,2021년 8월 8일,1,1,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",비려요...........
노량진수산시장벌교아줌마,2021년 8월 1일,3,5,4,"
            여름보양식 민어회/1(사이즈 선택(대),매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 얇게),젓가락 선택(젓가락 포함))
          ",민어가 있어서 배달했는데 뱃살 고소한맛이 적고 등살 밋밋하네요.... 왜그런가요? 껍질은 맛있어요
노량진수산시장벌교아줌마,2021년 7월 25일,5,3,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","첫주문!!
마싯게 잘먹긴 했는데 양에비해 가격이^^;;"
노량진수산시장벌교아줌마,2021년 7월 24일,3,5,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",와사비를 안주셨어요..
노량진수산시장벌교아줌마,2021년 7월 18일,4,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","매운탕을 주문했는데, 야채등이 같이 안와서 실망하였습니다 ㅠ 옵션 선택 부분에 명시를 해주시면 좋겠습니다."
노량진수산시장벌교아줌마,2021년 7월 17일,1,1,1,"
            민어 모듬회/1(사이즈 선택(소),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","1시간반걸린대서 시켰는데 3시간이 걸리네요 장난하시나요 이러면 주문 안받으셔야지요ㅡㅡ

퀵 기사 전화주라니 세번이나 씹으시고 이딴 곳은 장사하지말아야지요 

가격은 개비싸고 거지같이 기분만 상하고 손님모셔놓고 미안해죽겠네요ㅡㅡ"
노량진수산시장벌교아줌마,2021년 7월 4일,2,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",기대를 너무많이했나봐요.회가 많이말라있어서 맛이없고 연어는 비린내가특히 더많이났어요.가까운데서 신선하게 시켜먹는게 좋을거같아요.구성이나 포장상태는 괜찮아요.
노량진수산시장벌교아줌마,2021년 5월 29일,1,1,1,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 미포함))
          ",아직 안 왔습니다.  너무 오래 걸리네요
노량진수산시장벌교아줌마,2021년 5월 26일,5,3,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",맛있게 잘 먹었습니다~
노량진수산시장벌교아줌마,2021년 5월 21일,2,2,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",매운탕이 생선이라 양념만 있네요ㅡㅡ 야채가 없어 아쉽네요. 생선회도 여러개가 있어 비싼거겠죠? 저희집은 벌루였어요...;; 양이 적어서 나중에 다른걸 또 먹었네요. 2명인데;; 잘먹었습니다
노량진수산시장벌교아줌마,2021년 5월 5일,2,2,5,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",항상 시켜먹었는데 오늘은 좀 싱싱한 감이 덜했습니다 다음에 다시 시킬 때는 싱싱한 애들로 잘 부탁해요 여태까지 대방어가 최고 였슴
노량진수산시장벌교아줌마,2021년 5월 1일,3,5,5,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 미포함))
          ","전혀 가게를 비방하거나 영업 방해하게할 마음이 없음을 밝힘니다..

회를 미리 떠놓은걸 주셔서 죄다 퍼석퍼석하고 쫄깃하거니 탱글한맛이 없어요.
우럭은 정말 최악일정도에요. 쫄깃탱글 식감으로 좋아하는데 퍼석해서 쫄깃이나 탱글은 찾아볼수가없어요

처음 구성이나 양보고 이가격이면 가성비최고라 생각했는데 이렇게 떠놓으신 회인줄 알았으면 안시켰을거같아요. 

어플에 문제가 있어서 대응이나 전화통화는 엄청 친절하셨어요. 그리고 두껍게 떠달라고했는데 이미떠놓은걸 주셔서그런지 두껍지 않네요"
노량진수산시장벌교아줌마,2021년 4월 13일,1,4,2,"
            양에 놀라는 고급모듬회（大）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","코로나로 인한상황에 나쁜글은 전혀 쓰고싶지않지만, 8만5천원주고 시킨거에 쌈장2개, 간장을 저렇게 작은걸로 2개, 와사비도 안주시고 좀 너무하지않나 싶네요. 그리고 생선들도 숙성을 지나치게해서 거의 식감이 눅진하고 쾌쾌한냄새도 심합니다. 요즘같은 날씨에 이건좀 위험하다 싶네요. 좋은음식과 좋은 시간을 보내려했는데, 음식이 영 ... 리뷰보고 시키시는분들은 믿거 하세요."
노량진수산시장벌교아줌마,2021년 4월 3일,1,3,4,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","정말 맛없습니다.
숭어만 보통맛이고, 나머지 회는 물컹 물컹 흘러내리고, 냄새나고 정말 인생에 있어서 최악의 회입니다. 노량진 수산시장에가서 단골집에서 직접 사와도 되는데, 요기요에서 처음으로 주문해 봤는데, 심하게 자책 하고 있습니다."
노량진수산시장벌교아줌마,2021년 4월 3일,3,4,2,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ",양은 많아요. 회는 활어회 아니고 숙성회 느낌... 많이 숙성된 숙성회
노량진수산시장벌교아줌마,2021년 2월 4일,2,2,5,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함))
          ",개인적으론 그냥그래요..
노량진수산시장벌교아줌마,2021년 1월 30일,1,1,1,"
            양에 놀라는 고급모듬회（小）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",맛이 ㅠㅜ 너무 별로네요.
노량진수산시장벌교아줌마,2021년 1월 29일,5,3,5,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",친구 추천으로 시켰는데 배달은 한시간반정도 걸렸고 포장도 깔끔하게 해주셨어요  매운탕 거리도 깔끔하게 아이스팩포장까지 해주셨어요~~ 다만 아쉬운건 양이 많지가 않아요ㅠㅠ 아래 무채양이 너무많아요ㅠㅠ 그치만 너무신선하게 맛있게 먹겠습니다~!
노량진수산시장벌교아줌마,2021년 1월 25일,2,4,1,"
            돼지방어 [대방어 ] 10kg이상사용/1(사이즈 선택(소),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함))
          ","대박어하면 막장이나 묵은지가 있었으면 좋았겠어요 ㅎㅎㅎ  약간 비린맛에 나네요 ㅠㅠ 배달까지 총 2시간 30분 정도 걸리네요. 오전 9시10분에 시켜서 11:34분에 받음 
대방어부위가 좀더 다양했으면 좋겠어요 ㅎㅎ"
노량진수산시장벌교아줌마,2021년 1월 23일,1,3,3,"
            양에 놀라는 고급모듬회（中）/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함))
          ","왠만하면 맛 없어도 그냥 먹는데;;
먹다가 하도 아닌거 같아서 리뷰써요. 달랑 초고추장에, 간장, 그리고 회. 달랑 박스에 3개지 끝.여기까지 그려려니 이해합니다. 근데요
손질은 어떻게 하셨나 먹는 내내 비늘 나오고요,
맛은 그냥 그런데 이상하게 식감은 흐물흐물,  쫀득쫀득 한 맛이 없구요; 마치 오래된 생선이나 오래 방치되서 남은 재료 쓴듯한 그런 냄새가 나네요;;;;;
리뷰 좋고 양 많다길래 시켰는데 진짜 쫌 아닌거 같아요; 장사 똑바로 하셨으면 좋겠네요"
노량진수산시장벌교아줌마,2021년 1월 10일,3,4,4,"
            양에 놀라는 고급모듬회（中）750g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",푸짐하게 잘  먹었습니다
노량진수산시장벌교아줌마,2021년 1월 10일,1,1,1,"
            양에 놀라는 고급모듬회（中）750g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 포함))
          ","여기서 시키지 마세요. 두 점 먹고 리뷰씁니다.
랩 벗기기 전부터 비린내가 강했는데 먹는데 비린맛에 푸석푸석.

연어 좋아해서 평소에 연어 자주 먹는데 맛이며 식감이며 절대 신선한 회 아닙니다.

맛있게 모듬회 먹으려고 주문했는데 상태만 봐서는 언제 회뜬건지 모르는 생선들 조금씩 모아뒀네요

배달비 3000원 추가는 동의한 부분이고 그제 폭설로 이해는 되니 따로 말은하지 않겠습니다.

근데 맛이 가장 중요한 거잖아요?
다른 리뷰만 보고 맛있게 먹을 생각에 주문했는데 먹을 엄두가 도저히 안나네요."
노량진수산시장벌교아줌마,2021년 1월 9일,1,1,2,"
            양에 놀라는 고급모듬회（小）450g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),사이드 메뉴(고급 생연어회 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ",4시간가까이 걸리는데 전화도 안받음
노량진수산시장벌교아줌마,2021년 1월 9일,3,3,1,"
            양에 놀라는 고급모듬회（小）450g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","글 잘안남기는데, 어제 배달4곳에서 음식시켰었습니다, 날씨때문에 배달이 최악인 상황에서 다른음식점은 정중하게 양해를 구해서 오래걸려도 잘먹었습니다, 그런데 이 집은 첫째. 배달 지연으로 인해 취소 할래 말래?. 둘째 회가 나오고 300미터도 안되는 거리를 15000원 나오니까 만원 부담할테니 오천원 배달비 더 내라. 내가 도와주는거다.(결재당시에 배달비용 이미 같이 계산함. 결국 5000원 더 냈음). 택시배송으로5000원 더 낼래 퀵으로 2만원낼래?.. 옆에있던 3명의 지인들이 모두 황당해 할정도로 서비스 마인드 엉망임."
노량진수산시장벌교아줌마,2021년 1월 9일,3,3,1,"
            돼지방어 [대방어 ] 10kg이상사용/1(사이즈 선택(중),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","무료 배달인데, 5천원 배달료 중간에 추가되고, 예상시간보다 30분 늦게 배달됨"
노량진수산시장벌교아줌마,2021년 1월 8일,1,1,1,"
            양에 놀라는 고급모듬회（中）750g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가 안함),회두께 선택(회두께 보통),젓가락 선택(젓가락 미포함))
          ","배달한지 3시간째인데 배달 안오고 전화도 다 꺼두시고 이거 보시면 배달을 보내긴 한건지 어쩐건지 전화 좀 해주시죠
배달이 어려우면 주문을 받지 마셔야죠 네비 검색하면 교통상황 다 나오는데 제가 직접 픽업해도 이거보다 빨리 가져오겠네요 배달 상황 안내바랍니다"
노량진수산시장벌교아줌마,2021년 1월 8일,3,5,1,"
            양에 놀라는 고급모듬회（小）450g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","배달 오후 여섯시쯤 시켰는데 아홉시쯤 도착하네요.
그저 양과 맛으로만 승부하는 곳이에요 대전에서 서울로 집가는 길에 배달하시면 딱일거 같아요. 아그리고 배달요원없어서 추가로 배달요금 5000원 추가로 받습니다. 사실 아직도 도착안했네요.."
노량진수산시장벌교아줌마,2021년 1월 4일,4,3,5,"
            돼지방어 [대방어 ] 10kg이상사용/1(사이즈 선택(소),매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 두껍게),젓가락 선택(젓가락 미포함))
          ","집이 수산시장 근처라 30분만에 왔음.
양은 남자 1명이 먹기엔 많고 2명이 먹기엔 딱맞거나 살짝 아쉬울정도. 두께랑 맛은 좋은데. 
먹다 비늘 2번 나옴. 회를 숙성이 잘못된건지 전반적으로 너무 검은색임. 선도가 좀 걱정됬는데 역시나 밤부터 폭풍ㅅㅅ하고 회사 못나감."
노량진수산시장벌교아줌마,2021년 1월 2일,2,3,2,"
            양에 놀라는 고급모듬회（小）450g/1(매운탕거리 서비스 선택(매운탕거리 서비스 추가),회두께 선택(회두께 보통),젓가락 선택(젓가락 포함))
          ","후기가 너무좋아서 시켰는데 그냥 동네에서 시킬걸
그랬어요 회맛도 그저 그렇고 간장도 애기약컵에 주시는데 부족해요 탕도 다시 싯고 손질해야되요 
배달비 15000 도비싸지만 수산시장이라 큰맘먹고 시켰는데 저녁이라 배달온분한테 5000 을 더줘야된다해서 당황 ㅡㅡ 배달비 외에 추가로
배달오신분께 드린건  첨이예요  다른곳은 새벽에
시켜도 나와있는 배달비외엔 안받아요~~암튼 이상함"
