업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
오징어한마리빠진떡볶이-중화점,2021년 6월 13일,1,3,4,"
            D SET（1~2人 떡볶이＋오징어한마리튀김＋쿨피스450mL）/1(일회용품 선택(수저세트 필요없음),맛 선택(매운맛 5%（순한맛）),토핑 추가 선택(계란2개 추가),추가 선택(추가 안함))
          ",아....맛업ㄷㅏ 오징어튀김만 좋은듯 ㅠㅠ
오징어한마리빠진떡볶이-중화점,2021년 5월 31일,1,1,1,"
            D SET（1~2人 떡볶이＋오징어한마리튀김＋쿨피스450mL）/1(일회용품 선택(수저세트 필요없음),맛 선택(매운맛 5%（순한맛）),토핑 추가 선택(계란2개 추가),추가 선택(당면 추가))
          ",별로임... 맛없음...
